Symbol	Definition	Category
xc4	Simple 4th order cluster chi index	Chi Connectivity Indices 
xpc4	Simple 4th order path/cluster chi index	Chi Connectivity Indices 
xch3	Simple 3rd order chain chi index	Chi Connectivity Indices 
xch4	Simple 4th order chain chi index	Chi Connectivity Indices 
xch5	Simple 5th order chain chi index	Chi Connectivity Indices 
xch6	Simple 6th order chain chi index	Chi Connectivity Indices 
xch7	Simple 7th order chain chi index	Chi Connectivity Indices 
xch8	Simple 8th order chain chi index	Chi Connectivity Indices 
xch9	Simple 9th order chain chi index	Chi Connectivity Indices 
xch10	Simple 10th order chain chi index	Chi Connectivity Indices 
knotp	Difference between chi cluster-3 and chi path/cluster-4	Chi Connectivity Indices 
xv0	Valence zero order chi index	Chi Connectivity Indices 
xv1	Valence 1st order chi index	Chi Connectivity Indices 
xv2	Valence 2nd order chi index	Chi Connectivity Indices 
xvp3	Valence 3rd order path chi index	Chi Connectivity Indices 
xvp4	Valence 4th order path chi index	Chi Connectivity Indices 
xvp5	Valence 5th order path chi index	Chi Connectivity Indices 
xvp6	Valence 6th order path chi index	Chi Connectivity Indices 
xvp7	Valence 7th order path chi index	Chi Connectivity Indices 
xvp8	Valence 8th order path chi index	Chi Connectivity Indices 
xvp9	Valence 9th order path chi index	Chi Connectivity Indices 
xvp10	Valence 10th order path chi index	Chi Connectivity Indices 
xvc3	Valence 3rd order cluster chi index	Chi Connectivity Indices 
xvc4	Valence 4th order cluster chi index	Chi Connectivity Indices 
xvpc4	Valence 4th order path/cluster chi index	Chi Connectivity Indices 
xvch3	Valence 3rd order chain chi index	Chi Connectivity Indices 
xvch4	Valence 4th order chain chi index	Chi Connectivity Indices 
xvch5	Valence 5th order chain chi index	Chi Connectivity Indices 
xvch6	Valence 6th order chain chi index	Chi Connectivity Indices 
xvch7	Valence 7th order chain chi index	Chi Connectivity Indices 
xvch8	Valence 8th order chain chi index	Chi Connectivity Indices 
xvch9	Valence 9th order chain chi index	Chi Connectivity Indices 
xvch10	Valence 10th order chain chi index	Chi Connectivity Indices 
knotpv	Difference between chi valence cluster-3 and chi valence path/cluster-4.	Chi Connectivity Indices 
k1	 First order kappa shape index 	Kappa Shape Indices
k2	 Second order kappa shape index 	Kappa Shape Indices
k3	 Third order kappa shape index 	Kappa Shape Indices
ka1	 First order kappa alpha shape index 	Kappa Shape Indices
ka2	 Second order kappa alpha shape index 	Kappa Shape Indices
ka3	 Third order kappa alpha shape index 	Kappa Shape Indices
phia	 Kappa flexibility index 	Kappa Shape Indices
SsCH3	Sum of ( � CH3 ) E-States (SsCH3)	Electrotopological State Indices
SdCH2	Sum of ( = CH2 ) E-States (SdCH2)	Electrotopological State Indices
SssCH2	Sum of ( � CH2 � ) E-States (SssCH2)	Electrotopological State Indices
StCH	Sum of ( tCH ) E-States (StCH)	Electrotopological State Indices
SdsCH	Sum of ( = CH � ) E-States (SdsCH)	Electrotopological State Indices
SaaCH	Sum of ( aaCH  ) E-States (SaaCH)	Electrotopological State Indices
SsssCH	Sum of ( > CH � ) E-States (SsssCH)	Electrotopological State Indices
SddC	Sum of ( = C = ) E-States (SddC)	Electrotopological State Indices
StsC	Sum of ( tC � ) E-States (StsC)	Electrotopological State Indices
SdssC	Sum of ( = C < ) E-States (SdssC)	Electrotopological State Indices
SsaaC	Sum of ( saaC  ) E-States (SsaaC)	Electrotopological State Indices
SaaaC	Sum of ( aaaC ) E-States (SaaaC)	Electrotopological State Indices
SssssC	Sum of ( > C < ) E-States (SssssC)	Electrotopological State Indices
SsNH2	Sum of ( � NH2 ) E-States (SsNH2)	Electrotopological State Indices
SdNH	Sum of ( = NH ) E-States (SdNH)	Electrotopological State Indices
SssNH	Sum of ( � NH � ) E-States (SssNH)	Electrotopological State Indices
SaaNH	Sum of ( aaNH ) E-States (SaaNH)	Electrotopological State Indices
StN	Sum of ( tN ) E-States (StN)	Electrotopological State Indices
SdsN	Sum of ( = N � ) E-States (SdsN)	Electrotopological State Indices
SaaN	Sum of ( aaN ) E-States (SaaN)	Electrotopological State Indices
SsssN	Sum of ( > N � ) E-States (SsssN)	Electrotopological State Indices
SaaaN	Sum of ( aaaN ) E-States (SaaaN)	Electrotopological State Indices
SsaaN	Sum of ( saaN ) E-States (SsaaN)	Electrotopological State Indices
SsNH3p	Sum of ( � NH3+ ) E-States (SsNH3p)	Electrotopological State Indices
SssNH2p	Sum of ( � NH2+ � ) E-States (SssNH2p)	Electrotopological State Indices
SsssNHp	Sum of ( > NH+ � ) E-States (SsssNHp)	Electrotopological State Indices
SddNp	Sum of ( = N+ = ) E-States (SddNp)	Electrotopological State Indices
StsNp	Sum of ( # N+ � ) E-States (StsNp)	Electrotopological State Indices
SdNm	Sum of ( = N - ) E-States (SdNm)	Electrotopological State Indices
SdssNp	Sum of ( = N+ < ) E-States (SdssNp)	Electrotopological State Indices
SssssNp	Sum of ( > N+ < ) E-States (SssssNp)	Electrotopological State Indices
SsaaNp	Sum of ( saaN+ ) E-States (SsaaNp)	Electrotopological State Indices
SsOH	Sum of ( � OH ) E-States (SsOH)	Electrotopological State Indices
SdO	Sum of ( = O ) E-States (SdO)	Electrotopological State Indices
SssO	Sum of ( � O � ) E-States (SssO)	Electrotopological State Indices
SaaO	Sum of ( aaO ) E-States (SaaO)	Electrotopological State Indices
SsOm	Sum of ( � O- ) E-States (SsOm)	Electrotopological State Indices
SsF	Sum of ( � F ) E-States (SsF)	Electrotopological State Indices
SsCl	Sum of ( � Cl ) E-States (SsCl)	Electrotopological State Indices
SsBr	Sum of ( � Br ) E-States (SsBr)	Electrotopological State Indices
SsI	Sum of ( � I ) E-States (SsI)	Electrotopological State Indices
SsSiH3	Sum of ( � SiH3 ) E-States (SsSiH3)	Electrotopological State Indices
SssSiH2	Sum of ( � SiH2 � ) E-States (SssSiH2)	Electrotopological State Indices
SsssSiH	Sum of ( > SiH � ) E-States (SsssSiH)	Electrotopological State Indices
SssssSi	Sum of ( > Si < ) E-States (SssssSi)	Electrotopological State Indices
SsssP	Sum of ( > P � ) E-States (SsssP)	Electrotopological State Indices
SdsssP	Sum of (dsssP ) E-States (SdsssP)	Electrotopological State Indices
SddsP	Sum of (ddsP ) E-States (SddsP)	Electrotopological State Indices
SsssssP	Sum of ( sssssP ) E-States (SsssssP)	Electrotopological State Indices
SdssPH	Sum of ( =PH< ) E-States (SdssPH)	Electrotopological State Indices
SsPH2	Sum of ( � PH2 ) E-States (SsPH2)	Electrotopological State Indices
SssPH	Sum of ( � PH � ) E-States (SssPH)	Electrotopological State Indices
SsSH	Sum of ( � SH ) E-States (SsSH)	Electrotopological State Indices
SdS	Sum of ( = S ) E-States (SdS)	Electrotopological State Indices
SssS	Sum of ( � S � ) E-States (SssS)	Electrotopological State Indices
SaaS	Sum of ( aaS ) E-States (SaaS)	Electrotopological State Indices
SdssS	Sum of ( = S < ) E-States (SdssS)	Electrotopological State Indices
SddssS	Sum of ( ddssS ) E-States (SddssS)	Electrotopological State Indices
SssssssS	Sum of ( ssssssS ) E-States (SssssssS)	Electrotopological State Indices
SsSnH3	Sum of ( � SnH3 ) E-States (SsSnH3)	Electrotopological State Indices
SssSnH2	Sum of ( � SnH2 � ) E-States (SssSnH2)	Electrotopological State Indices
SssSnH	Sum of ( > SnH � ) E-States (SssSnH)	Electrotopological State Indices
SssssSn	Sum of ( > Sn < ) E-States (SssssSn)	Electrotopological State Indices
SsPbH3	Sum of ( � PbH3 ) E-States (SsPbH3)	Electrotopological State Indices
SssPbH2	Sum of ( � PbH2 � ) E-States (SssPbH2)	Electrotopological State Indices
SsssPbH	Sum of ( > PbH � ) E-States (SsssPbH)	Electrotopological State Indices
SssssPb	Sum of ( > Pb < ) E-States (SssssPb)	Electrotopological State Indices
SsssAs	Sum of ( � As < ) E-States (SsssAs)	Electrotopological State Indices
SdsssAs	Sum of ( dsssAs ) E-States (SdsssAs)	Electrotopological State Indices
SddsAs	Sum of ( ddsAs ) E-States (SddsAs)	Electrotopological State Indices
SsssssAs	Sum of ( sssssAs ) E-States (SsssssAs)	Electrotopological State Indices
SsAsH2	Sum of (  � AsH2 ) E-States (SsAsH2)	Electrotopological State Indices
SssAsH	Sum of ( � AsH � ) E-States (SssAsH)	Electrotopological State Indices
SsHgp	Sum of ( � Hg+) E-States (SsHgp)	Electrotopological State Indices
SssHg	Sum of ( � Hg �) E-States (SssHg)	Electrotopological State Indices
SsHg	Sum of ( � Hg) E-States (SsHg)	Electrotopological State Indices
SsCH3_acnt	Count of ( � CH3 )  (SsCH3_acnt)	Electrotopological State Indices
SdCH2_acnt	Count of ( = CH2 )  (SdCH2_acnt)	Electrotopological State Indices
SssCH2_acnt	Count of ( � CH2 � )  (SssCH2_acnt)	Electrotopological State Indices
StCH_acnt	Count of ( tCH )  (StCH_acnt)	Electrotopological State Indices
SdsCH_acnt	Count of ( = CH � )  (SdsCH_acnt)	Electrotopological State Indices
SaaCH_acnt	Count of ( aaCH  )  (SaaCH_acnt)	Electrotopological State Indices
SsssCH_acnt	Count of ( > CH � )  (SsssCH_acnt)	Electrotopological State Indices
SddC_acnt	Count of ( = C = )  (SddC_acnt)	Electrotopological State Indices
StsC_acnt	Count of ( tC � )  (StsC_acnt)	Electrotopological State Indices
SdssC_acnt	Count of ( = C < )  (SdssC_acnt)	Electrotopological State Indices
SsaaC_acnt	Count of ( saaC  )  (SsaaC_acnt)	Electrotopological State Indices
SaaaC_acnt	Count of ( aaaC )  (SaaaC_acnt)	Electrotopological State Indices
SssssC_acnt	Count of ( > C < )  (SssssC_acnt)	Electrotopological State Indices
SsNH2_acnt	Count of ( � NH2 )  (SsNH2_acnt)	Electrotopological State Indices
SdNH_acnt	Count of ( = NH )  (SdNH_acnt)	Electrotopological State Indices
SssNH_acnt	Count of ( � NH � )  (SssNH_acnt)	Electrotopological State Indices
SaaNH_acnt	Count of ( aaNH )  (SaaNH_acnt)	Electrotopological State Indices
StN_acnt	Count of ( tN )  (StN_acnt)	Electrotopological State Indices
SdsN_acnt	Count of ( = N � )  (SdsN_acnt)	Electrotopological State Indices
SaaN_acnt	Count of ( aaN )  (SaaN_acnt)	Electrotopological State Indices
SsssN_acnt	Count of ( > N � )  (SsssN_acnt)	Electrotopological State Indices
SaaaN_acnt	Count of ( aaaN )  (SaaaN_acnt)	Electrotopological State Indices
SsaaN_acnt	Count of ( saaN )  (SsaaN_acnt)	Electrotopological State Indices
SsNH3p_acnt	Count of ( � NH3+ )  (SsNH3p_acnt)	Electrotopological State Indices
SssNH2p_acnt	Count of ( � NH2+ � )  (SssNH2p_acnt)	Electrotopological State Indices
SsssNHp_acnt	Count of ( > NH+ � )  (SsssNHp_acnt)	Electrotopological State Indices
SddNp_acnt	Count of ( = N+ = )  (SddNp_acnt)	Electrotopological State Indices
StsNp_acnt	Count of ( # N+ � )  (StsNp_acnt)	Electrotopological State Indices
SdNm_acnt	Count of ( = N - )  (SdNm_acnt)	Electrotopological State Indices
SdssNp_acnt	Count of ( = N+ < )  (SdssNp_acnt)	Electrotopological State Indices
SssssNp_acnt	Count of ( > N+ < )  (SssssNp_acnt)	Electrotopological State Indices
SsaaNp_acnt	Count of ( saaN+ )  (SsaaNp_acnt)	Electrotopological State Indices
SsOH_acnt	Count of ( � OH )  (SsOH_acnt)	Electrotopological State Indices
SdO_acnt	Count of ( = O )  (SdO_acnt)	Electrotopological State Indices
SssO_acnt	Count of ( � O � )  (SssO_acnt)	Electrotopological State Indices
SaaO_acnt	Count of ( aaO )  (SaaO_acnt)	Electrotopological State Indices
SsOm_acnt	Count of ( � O- )  (SsOm_acnt)	Electrotopological State Indices
SsF_acnt	Count of ( � F )  (SsF_acnt)	Electrotopological State Indices
SsCl_acnt	Count of ( � Cl )  (SsCl_acnt)	Electrotopological State Indices
SsBr_acnt	Count of ( � Br )  (SsBr_acnt)	Electrotopological State Indices
SsI_acnt	Count of ( � I )  (SsI_acnt)	Electrotopological State Indices
SsSiH3_acnt	Count of ( � SiH3 )  (SsSiH3_acnt)	Electrotopological State Indices
SssSiH2_acnt	Count of ( � SiH2 � )  (SssSiH2_acnt)	Electrotopological State Indices
SsssSiH_acnt	Count of ( > SiH � )  (SsssSiH_acnt)	Electrotopological State Indices
SssssSi_acnt	Count of ( > Si < )  (SssssSi_acnt)	Electrotopological State Indices
SsssP_acnt	Count of ( > P � )  (SsssP_acnt)	Electrotopological State Indices
SdsssP_acnt	Count of (dsssP )  (SdsssP_acnt)	Electrotopological State Indices
SddsP_acnt	Count of (ddsP )  (SddsP_acnt)	Electrotopological State Indices
SsssssP_acnt	Count of ( sssssP )  (SsssssP_acnt)	Electrotopological State Indices
SdssPH_acnt	Count of ( =PH< )  (SdssPH_acnt)	Electrotopological State Indices
SsPH2_acnt	Count of ( � PH2 )  (SsPH2_acnt)	Electrotopological State Indices
SssPH_acnt	Count of ( � PH � )  (SssPH_acnt)	Electrotopological State Indices
SsSH_acnt	Count of ( � SH )  (SsSH_acnt)	Electrotopological State Indices
SdS_acnt	Count of ( = S )  (SdS_acnt)	Electrotopological State Indices
SssS_acnt	Count of ( � S � )  (SssS_acnt)	Electrotopological State Indices
SaaS_acnt	Count of ( aaS )  (SaaS_acnt)	Electrotopological State Indices
SdssS_acnt	Count of ( = S < )  (SdssS_acnt)	Electrotopological State Indices
SddssS_acnt	Count of ( ddssS )  (SddssS_acnt)	Electrotopological State Indices
SssssssS_acnt	Count of ( ssssssS )  (SssssssS_acnt)	Electrotopological State Indices
SsSnH3_acnt	Count of ( � SnH3 )  (SsSnH3_acnt)	Electrotopological State Indices
SssSnH2_acnt	Count of ( � SnH2 � )  (SssSnH2_acnt)	Electrotopological State Indices
SssSnH_acnt	Count of ( > SnH � )  (SssSnH_acnt)	Electrotopological State Indices
SssssSn_acnt	Count of ( > Sn < )  (SssssSn_acnt)	Electrotopological State Indices
SsPbH3_acnt	Count of ( � PbH3 )  (SsPbH3_acnt)	Electrotopological State Indices
SssPbH2_acnt	Count of ( � PbH2 � )  (SssPbH2_acnt)	Electrotopological State Indices
SsssPbH_acnt	Count of ( > PbH � )  (SsssPbH_acnt)	Electrotopological State Indices
SssssPb_acnt	Count of ( > Pb < )  (SssssPb_acnt)	Electrotopological State Indices
SsssAs_acnt	Count of ( � As < )  (SsssAs_acnt)	Electrotopological State Indices
SdsssAs_acnt	Count of ( dsssAs )  (SdsssAs_acnt)	Electrotopological State Indices
SddsAs_acnt	Count of ( ddsAs )  (SddsAs_acnt)	Electrotopological State Indices
SsssssAs_acnt	Count of ( sssssAs )  (SsssssAs_acnt)	Electrotopological State Indices
SsAsH2_acnt	Count of (  � AsH2 )  (SsAsH2_acnt)	Electrotopological State Indices
SssAsH_acnt	Count of ( � AsH � )  (SssAsH_acnt)	Electrotopological State Indices
SsHgp_acnt	Count of ( � Hg+)  (SsHgp_acnt)	Electrotopological State Indices
SssHg_acnt	Count of ( � Hg �)  (SssHg_acnt)	Electrotopological State Indices
SsHg_acnt	Count of ( � Hg)  (SsHg_acnt)	Electrotopological State Indices
SHsOH	Sum of ([� OH ]) hydrogen E-States (SHsOH)	Electrotopological State Indices
SHdNH	Sum of ([= NH ]) hydrogen E-States (SHdNH)	Electrotopological State Indices
SHsSH	Sum of ([� SH ]) hydrogen E-States (SHsSH)	Electrotopological State Indices
SHsNH2	Sum of ([� NH2]) hydrogen E-States (SHsNH2)	Electrotopological State Indices
SHssNH	Sum of ([� NH � ]) hydrogen E-States (SHssNH)	Electrotopological State Indices
SHtCH	Sum of ([ tCH ]) hydrogen E-States (SHtCH)	Electrotopological State Indices
SHother	Sum of (CH or CH2 with -F or -Cl attached) hydrogen E-State values (SHCHnX)	Electrotopological State Indices
SHCHnX	Sum of hydrogen E-State values for other atom types (SHother)	Electrotopological State Indices
Hmax	Maximum hydrogen E-State value in molecule.	Electrotopological State Indices
Gmax	Maximum E-State value in molecule.	Electrotopological State Indices
Hmin	Minimum hydrogen E-State value in molecule.	Electrotopological State Indices
Gmin	Minimum E-State value in molecule.	Electrotopological State Indices
Hmaxpos	Maximum positive hydrogen E-State value in molecule.	Electrotopological State Indices
Hminneg	Minimum negative hydrogen E-State value in molecule.	Electrotopological State Indices
ZM1	First Zagreb index M1 	Topological Descriptors
ZM1V	First Zagreb index by valence vertex degrees 	Topological Descriptors
ZM2	Second Zagreb index M2 	Topological Descriptors
ZM2V	Second Zagreb index by valence vertex degrees 	Topological Descriptors
J	Balaban distance connectivity index (pg 21 Todeschini book)	Topological Descriptors
Jt	Jt index (pg 21 Todeschini book)	Topological Descriptors
BAC	Balaban centric index 	Topological Descriptors
Lop	Lopping centric index 	Topological Descriptors
ICR	Radial centric information index 	Topological Descriptors
TIE	E-state topological parameter 	Topological Descriptors
MAXDN	Maximal electrotopological negative variation 	Topological Descriptors
MAXDP	Maximal electrotopological positive variation 	Topological Descriptors
DELS	Molecular electrotopological variation 	Topological Descriptors
W	Wiener Index 	Topological Descriptors
WA	Mean Wiener Index 	Topological Descriptors
ACAC	ACAC fragment count	Molecular Fragments
AN [attached to AN in same ring]	AN [attached to AN in same ring] fragment count	Molecular Fragments
ANH [attached to AN in same ring]	ANH [attached to AN in same ring] fragment count	Molecular Fragments
C=C=O	C=C=O fragment count	Molecular Fragments
C=[N+][O-]	C=[N+][O-] fragment count	Molecular Fragments
C=[N+]=[N-]	C=[N+]=[N-] fragment count	Molecular Fragments
-N=S=O	-N=S=O fragment count	Molecular Fragments
-N=[N+]=[N-]	-N=[N+]=[N-] fragment count	Molecular Fragments
-[N+]#N	-[N+]#N fragment count	Molecular Fragments
A[N+][O-]	A[N+][O-] fragment count	Molecular Fragments
N+ [four single bonds]	N+ [four single bonds] fragment count	Molecular Fragments
CH2=C(CH3)C(=O)O-	CH2=C(CH3)C(=O)O- fragment count	Molecular Fragments
CH2=CHC(=O)O-	CH2=CHC(=O)O- fragment count	Molecular Fragments
-N=C=S	-N=C=S fragment count	Molecular Fragments
-SC(=S)S-	-SC(=S)S- fragment count	Molecular Fragments
-SC(=S)O-	-SC(=S)O- fragment count	Molecular Fragments
-SC(=O)S-	-SC(=O)S- fragment count	Molecular Fragments
-SC(=O)O-	-SC(=O)O- fragment count	Molecular Fragments
-OC(=S)O-	-OC(=S)O- fragment count	Molecular Fragments
-C(=O)OC(=O)-	-C(=O)OC(=O)- fragment count	Molecular Fragments
-NH- [3 membered ring]	-NH- [3 membered ring] fragment count	Molecular Fragments
-N< [3 membered ring]	-N< [3 membered ring] fragment count	Molecular Fragments
-NH2 [attached to P]	-NH2 [attached to P] fragment count	Molecular Fragments
-NH- [attached to P]	-NH- [attached to P] fragment count	Molecular Fragments
-N< [attached to P]	-N< [attached to P] fragment count	Molecular Fragments
Sn=O	Sn=O fragment count	Molecular Fragments
Sn [oxygen attach]	Sn [oxygen attach] fragment count	Molecular Fragments
Sn [aromatic attach]	Sn [aromatic attach] fragment count	Molecular Fragments
Sn	Sn fragment count	Molecular Fragments
Si [aromatic attach]	Si [aromatic attach] fragment count	Molecular Fragments
Si [oxygen, aromatic attach]	Si [oxygen, aromatic attach] fragment count	Molecular Fragments
Si [oxygen attach]	Si [oxygen attach] fragment count	Molecular Fragments
Si	Si fragment count	Molecular Fragments
-S(=O)(=O)- [2 nitrogen attach]	-S(=O)(=O)- [2 nitrogen attach] fragment count	Molecular Fragments
-S(=O)(=O)- [nitrogen, aromatic attach]	-S(=O)(=O)- [nitrogen, aromatic attach] fragment count	Molecular Fragments
-S(=O)(=O)- [aromatic attach]	-S(=O)(=O)- [aromatic attach] fragment count	Molecular Fragments
-S(=O)(=O)- [olefinic attach]	-S(=O)(=O)- [olefinic attach] fragment count	Molecular Fragments
-S(=O)(=O)- [nitrogen, aliphatic attach]	-S(=O)(=O)- [nitrogen, aliphatic attach] fragment count	Molecular Fragments
-S(=O)(=O)- [aliphatic attach]	-S(=O)(=O)- [aliphatic attach] fragment count	Molecular Fragments
-S(=O)- [2 nitrogen attach]	-S(=O)- [2 nitrogen attach] fragment count	Molecular Fragments
-S(=O)- [nitrogen, aromatic attach]	-S(=O)- [nitrogen, aromatic attach] fragment count	Molecular Fragments
-S(=O)- [aromatic attach]	-S(=O)- [aromatic attach] fragment count	Molecular Fragments
-S(=O)- olefinic attach]	-S(=O)- olefinic attach] fragment count	Molecular Fragments
-S(=O)- [nitrogen, aliphatic attach]	-S(=O)- [nitrogen, aliphatic attach] fragment count	Molecular Fragments
-S(=O)- [aliphatic attach]	-S(=O)- [aliphatic attach] fragment count	Molecular Fragments
-OH [aromatic attach]	-OH [aromatic attach] fragment count	Molecular Fragments
-SH [aromatic attach]	-SH [aromatic attach] fragment count	Molecular Fragments
-N=O [aromatic attach]	-N=O [aromatic attach] fragment count	Molecular Fragments
-ONO2	-ONO2 fragment count	Molecular Fragments
-NO2 [aromatic attach]	-NO2 [aromatic attach] fragment count	Molecular Fragments
-NO2 [olefinic attach]	-NO2 [olefinic attach] fragment count	Molecular Fragments
-NO2 [nitrogen attach]	-NO2 [nitrogen attach] fragment count	Molecular Fragments
-NO2 [aliphatic attach]	-NO2 [aliphatic attach] fragment count	Molecular Fragments
-N=C=O [aromatic attach]	-N=C=O [aromatic attach] fragment count	Molecular Fragments
-N=C=O [aliphatic attach]	-N=C=O [aliphatic attach] fragment count	Molecular Fragments
-COOH [aromatic attach]	-COOH [aromatic attach] fragment count	Molecular Fragments
-OC(=O)O-	-OC(=O)O- fragment count	Molecular Fragments
-C(=O)O- [aromatic attach]	-C(=O)O- [aromatic attach] fragment count	Molecular Fragments
-C(=O)SH [aromatic attach]	-C(=O)SH [aromatic attach] fragment count	Molecular Fragments
-C(=O)S- [aromatic attach]	-C(=O)S- [aromatic attach] fragment count	Molecular Fragments
-C(=S)SH [aromatic attach]	-C(=S)SH [aromatic attach] fragment count	Molecular Fragments
-C(=S)S- [aromatic attach]	-C(=S)S- [aromatic attach] fragment count	Molecular Fragments
-C(=S)OH [aromatic attach]	-C(=S)OH [aromatic attach] fragment count	Molecular Fragments
-C(=S)O- [aromatic attach]	-C(=S)O- [aromatic attach] fragment count	Molecular Fragments
-C(=S)- [nitrogen, aromatic attach]	-C(=S)- [nitrogen, aromatic attach] fragment count	Molecular Fragments
-C(=S)- [aromatic attach]	-C(=S)- [aromatic attach] fragment count	Molecular Fragments
-CHO [aromatic attach]	-CHO [aromatic attach] fragment count	Molecular Fragments
-COOH [aliphatic attach]	-COOH [aliphatic attach] fragment count	Molecular Fragments
HC(=O)O-	HC(=O)O- fragment count	Molecular Fragments
-C(=O)O- [nitrogen attach]	-C(=O)O- [nitrogen attach] fragment count	Molecular Fragments
-C(=O)O- [cyclic]	-C(=O)O- [cyclic] fragment count	Molecular Fragments
-C(=O)O- [olefinic attach]	-C(=O)O- [olefinic attach] fragment count	Molecular Fragments
-C(=O)O- [aliphatic attach]	-C(=O)O- [aliphatic attach] fragment count	Molecular Fragments
-C(=O)SH [nitrogen attach]	-C(=O)SH [nitrogen attach] fragment count	Molecular Fragments
-C(=O)SH [aliphatic attach]	-C(=O)SH [aliphatic attach] fragment count	Molecular Fragments
-C(=O)S- [nitrogen attach]	-C(=O)S- [nitrogen attach] fragment count	Molecular Fragments
-C(=O)S- [aliphatic attach]	-C(=O)S- [aliphatic attach] fragment count	Molecular Fragments
-C(=S)SH [nitrogen attach]	-C(=S)SH [nitrogen attach] fragment count	Molecular Fragments
-C(=S)SH [aliphatic attach]	-C(=S)SH [aliphatic attach] fragment count	Molecular Fragments
-C(=S)OH [aliphatic attach]	-C(=S)OH [aliphatic attach] fragment count	Molecular Fragments
-C(=S)O- [nitrogen attach]	-C(=S)O- [nitrogen attach] fragment count	Molecular Fragments
-C(=S)O- [aliphatic attach]	-C(=S)O- [aliphatic attach] fragment count	Molecular Fragments
-C(=S)S- [nitrogen attach]	-C(=S)S- [nitrogen attach] fragment count	Molecular Fragments
-C(=S)S- [aliphatic attach]	-C(=S)S- [aliphatic attach] fragment count	Molecular Fragments
-C(=S)- [2 nitrogen attach]	-C(=S)- [2 nitrogen attach] fragment count	Molecular Fragments
-C(=S)- [nitrogen, aliphatic attach]	-C(=S)- [nitrogen, aliphatic attach] fragment count	Molecular Fragments
-C(=S)- [aliphatic attach]	-C(=S)- [aliphatic attach] fragment count	Molecular Fragments
-CF3 [aromatic attach]	-CF3 [aromatic attach] fragment count	Molecular Fragments
-CCl3 [aromatic attach]	-CCl3 [aromatic attach] fragment count	Molecular Fragments
-C#N [aromatic attach]	-C#N [aromatic attach] fragment count	Molecular Fragments
-CH=NOH	-CH=NOH fragment count	Molecular Fragments
-CH=NO	-CH=NO fragment count	Molecular Fragments
>C=NOH	>C=NOH fragment count	Molecular Fragments
>C=NO	>C=NO fragment count	Molecular Fragments
-C([H])=N[H] [Nitrogen attach]	-C([H])=N[H] [Nitrogen attach] fragment count	Molecular Fragments
-C([H])=N [Nitrogen attach]	-C([H])=N [Nitrogen attach] fragment count	Molecular Fragments
>C=N[H] [2 Nitrogen attach]	>C=N[H] [2 Nitrogen attach] fragment count	Molecular Fragments
